clientid,clientname,productgroup,planname,planid,groupid,benefitid,volume
1000,Christiansen-Fay,MED,HMO  ,CHP006    ,CHG006    ,CHB006    ,1062
1000,Christiansen-Fay,MED,PPO  ,CPP008    ,CPG008    ,CPB008    ,338
1000,Christiansen-Fay,MED,POS  ,CPP007    ,CPG007    ,CPB007    ,152
1000,Christiansen-Fay,DENT,DHMO ,CDP002    ,CDG002    ,CDB002    ,225
1000,Christiansen-Fay,DENT,DPPO ,CDP003    ,CDG003    ,CDB003    ,86
1000,Christiansen-Fay,DENT,DEPO ,CDP001    ,CDG001    ,CDB001    ,93
1000,Christiansen-Fay,PDP,PDP  ,CPP0015   ,CPG0015   ,CPB0015   ,374
1000,Christiansen-Fay,"MED,DENT",GHMO ,CGP009    ,CGG009    ,CGB009    ,1413
1000,Christiansen-Fay,"MED,DENT",GPPO ,CGP0010   ,CGG0010   ,CGB0010   ,170
1000,Christiansen-Fay,"MED,PDP",GHMO ,CGP0013   ,CGG0013   ,CGB0013   ,622
1000,Christiansen-Fay,"MED,PDP",GPPO ,CGP0014   ,CGG0014   ,CGB0014   ,164
1000,Christiansen-Fay,"DENT,PDP",GHMO ,CGP004    ,CGG004    ,CGB004    ,285
1000,Christiansen-Fay,"DENT,PDP",GPPO ,CGP005    ,CGG005    ,CGB005    ,108
1000,Christiansen-Fay,"MED,DENT,PDP",GHMO ,CGP0012   ,CGG0012   ,CGB0012   ,884
1000,Christiansen-Fay,"MED,DENT,PDP",GEPO ,CGP0011   ,CGG0011   ,CGB0011   ,1938
1001,"Becker, Haley and Mante",MED,HMO  ,BHP0019   ,BHG0019   ,BHB0019   ,14205
1001,"Becker, Haley and Mante",MED,PPO  ,BPP0021   ,BPG0021   ,BPB0021   ,4177
1001,"Becker, Haley and Mante",MED,POS  ,BPP0020   ,BPG0020   ,BPB0020   ,2033
1001,"Becker, Haley and Mante",DENT,DHMO ,BDP0017   ,BDG0017   ,BDB0017   ,1504
1001,"Becker, Haley and Mante",DENT,DPPO ,BDP0018   ,BDG0018   ,BDB0018   ,508
